Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1413744837,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
bodyId_1414073219,0,8,0,0,0,0,0,0,0,0,0,0,4,30,60,4,2,0,1
bodyId_1414366899,1,0,0,0,0,2,0,0,0,0,0,0,2,49,0,0,0,0,148
bodyId_1414776617,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
bodyId_1417768398,5,63,8,4,0,0,1,1,0,20,0,0,14,1,61,1,3,0,0
bodyId_1434949542,0,20,69,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1437306571,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,29,0
bodyId_1437652965,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,32,0
bodyId_1439301519,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,16,13,0
bodyId_1439979494,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14,0,37,1,0
bodyId_1446062404,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,19,17,0,0
bodyId_1447103034,0,0,27,0,0,0,0,0,0,0,0,0,3,80,0,0,0,0,0
bodyId_1448452947,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,50,0,0,0
bodyId_1449486007,186,0,0,0,0,0,0,0,0,1,0,0,21,15,0,0,1,0,215
bodyId_1449848294,14,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
bodyId_1450875637,0,0,0,0,0,0,0,2,1,4,0,0,0,0,32,11,2,0,0
bodyId_1466998977,0,23,58,0,31,0,0,0,0,0,0,20,0,0,0,0,0,0,0
bodyId_1467340016,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,6,0
bodyId_1468630778,0,0,0,0,24,0,0,0,0,0,0,21,0,0,0,0,0,0,0
bodyId_1468782618,0,0,0,0,22,0,0,0,0,0,0,13,0,0,0,0,0,0,0
bodyId_1469049500,0,36,42,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
bodyId_1471337584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,61,1,0
bodyId_1472711015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,22,3,62,0,0
